keyword,avg_monthly_searches,n,month_counter,month,roll_avg
whatnot selling,390,320,27,2024-08-01,280
whatnot selling,390,260,28,2024-09-01,280
whatnot selling,390,320,29,2024-10-01,300
whatnot selling,390,260,30,2024-11-01,280
whatnot selling,390,260,31,2024-12-01,280
whatnot selling,390,260,32,2025-01-01,260
whatnot selling,390,260,33,2025-02-01,260
whatnot selling,390,320,34,2025-03-01,280
whatnot selling,390,320,35,2025-04-01,300
whatnot selling,390,390,36,2025-05-01,343
whatnot selling,390,390,37,2025-06-01,367
whatnot selling,390,390,38,2025-07-01,390
whatnot selling,390,480,39,2025-08-01,420
whatnot selling,390,390,40,2025-09-01,420
whatnot selling,390,390,41,2025-10-01,420
whatnot selling,390,390,42,2025-11-01,390
whatnot selling,390,320,43,2025-12-01,367
whatnot selling,390,480,44,2026-01-01,397
whatnot selling,390,480,45,2026-02-01,427
whatnot selling,390,480,46,2026-03-01,480
whatnot selling,390,480,47,2026-04-01,480
whatnot selling,390,390,48,2026-05-01,450
whatnot shopping,720,50,1,2022-06-01,50
whatnot shopping,720,90,2,2022-07-01,70
whatnot shopping,720,110,3,2022-08-01,83
whatnot shopping,720,170,4,2022-09-01,123
whatnot shopping,720,170,5,2022-10-01,150
whatnot shopping,720,70,6,2022-11-01,137
whatnot shopping,720,90,7,2022-12-01,110
whatnot shopping,720,110,8,2023-01-01,90
whatnot shopping,720,90,9,2023-02-01,97
whatnot shopping,720,110,10,2023-03-01,103
whatnot shopping,720,110,11,2023-04-01,103
whatnot shopping,720,110,12,2023-05-01,110
whatnot shopping,720,90,13,2023-06-01,103
whatnot shopping,720,90,14,2023-07-01,97
whatnot shopping,720,90,15,2023-08-01,90
whatnot shopping,720,90,16,2023-09-01,90
whatnot shopping,720,90,17,2023-10-01,90
whatnot shopping,720,110,18,2023-11-01,97
whatnot shopping,720,90,19,2023-12-01,97
whatnot shopping,720,110,20,2024-01-01,103
whatnot shopping,720,140,21,2024-02-01,113
whatnot shopping,720,110,22,2024-03-01,120
whatnot shopping,720,90,23,2024-04-01,113
whatnot shopping,720,70,24,2024-05-01,90
whatnot shopping,720,90,25,2024-06-01,83
whatnot shopping,720,110,26,2024-07-01,90
whatnot shopping,720,110,27,2024-08-01,103
whatnot shopping,720,90,28,2024-09-01,103
whatnot shopping,720,140,29,2024-10-01,113
whatnot shopping,720,170,30,2024-11-01,133
whatnot shopping,720,260,31,2024-12-01,190
whatnot shopping,720,320,32,2025-01-01,250
whatnot shopping,720,320,33,2025-02-01,300
whatnot shopping,720,320,34,2025-03-01,320
whatnot shopping,720,480,35,2025-04-01,373
whatnot shopping,720,480,36,2025-05-01,427
whatnot shopping,720,590,37,2025-06-01,517
whatnot shopping,720,720,38,2025-07-01,597
whatnot shopping,720,720,39,2025-08-01,677
whatnot shopping,720,880,40,2025-09-01,773
whatnot shopping,720,720,41,2025-10-01,773
whatnot shopping,720,590,42,2025-11-01,730
whatnot shopping,720,720,43,2025-12-01,677
whatnot shopping,720,880,44,2026-01-01,730
whatnot shopping,720,590,45,2026-02-01,730
whatnot shopping,720,590,46,2026-03-01,687
whatnot shopping,720,590,47,2026-04-01,590
whatnot shopping,720,590,48,2026-05-01,590
